epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,4617.56,1.28328,0.88658,1.14941,0.82614,0.78824,0.84427,0.50091,1.39586,0.8694,1.21614,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4695.13,1.28517,0.8828,1.14653,0.82811,0.78176,0.84507,0.50097,1.39937,0.87409,1.22012,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4773.53,1.28248,0.87631,1.14665,0.82429,0.78344,0.84298,0.50308,1.38725,0.86495,1.21426,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4851.65,1.28303,0.87845,1.14099,0.82074,0.78473,0.84297,0.49984,1.39307,0.86892,1.2127,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4929.48,1.27257,0.86841,1.13997,0.80909,0.78377,0.83639,0.4967,1.40191,0.87288,1.21823,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4992.89,1.2717,0.86353,1.14089,0.82208,0.78215,0.8371,0.49736,1.40088,0.87621,1.21987,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5045.89,1.27117,0.85892,1.13619,0.80367,0.79527,0.83949,0.49737,1.40197,0.87437,1.21692,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5099.03,1.26547,0.85457,1.13462,0.80525,0.80161,0.84118,0.4993,1.39468,0.87407,1.21369,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5151.86,1.25982,0.85594,1.13615,0.82237,0.79845,0.8472,0.50249,1.39189,0.86717,1.21234,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5205.3,1.25294,0.84736,1.12899,0.81123,0.80012,0.84409,0.50226,1.39346,0.86347,1.21297,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5257.54,1.25225,0.83552,1.13087,0.80593,0.80518,0.84312,0.5013,1.39793,0.86397,1.21793,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5310.9,1.25226,0.8376,1.13046,0.81514,0.80009,0.84,0.50111,1.4002,0.86742,1.21753,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5363.84,1.25089,0.8312,1.1288,0.81526,0.7996,0.84246,0.50292,1.39794,0.86135,1.21466,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5416.43,1.23785,0.81558,1.12423,0.81355,0.80008,0.84105,0.502,1.3951,0.86628,1.21439,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5469.52,1.2423,0.81867,1.1248,0.81251,0.79962,0.84093,0.50105,1.39474,0.85947,1.2138,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5522.28,1.24322,0.82031,1.12293,0.82145,0.79204,0.84027,0.5009,1.3976,0.85505,1.21736,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5573.99,1.23065,0.80988,1.12251,0.82555,0.7884,0.84328,0.50133,1.39949,0.85985,1.21785,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5627.24,1.22977,0.80285,1.11945,0.8251,0.7997,0.84613,0.5022,1.39949,0.85586,1.2191,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5679.15,1.22418,0.80024,1.11457,0.80661,0.80642,0.84277,0.50096,1.39791,0.85552,1.21676,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5731.17,1.20767,0.78556,1.10793,0.81851,0.79859,0.84033,0.49993,1.39666,0.85972,1.21636,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5782.7,1.21913,0.78547,1.11163,0.82304,0.79552,0.84155,0.50162,1.39786,0.85945,1.21781,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5835.73,1.22002,0.78858,1.11739,0.81847,0.79487,0.83869,0.50034,1.39539,0.85791,1.2177,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5888.7,1.2069,0.77613,1.10449,0.81958,0.79657,0.84043,0.50025,1.39773,0.85567,1.21737,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5941.41,1.21287,0.78464,1.10942,0.82564,0.79458,0.84002,0.49926,1.39861,0.85844,1.21874,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5994.84,1.19738,0.76862,1.10257,0.8311,0.79206,0.84221,0.50033,1.40012,0.85905,1.2193,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6048.04,1.20639,0.77116,1.1054,0.82939,0.78725,0.8408,0.49993,1.40219,0.8592,1.22037,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6101.53,1.19756,0.76895,1.10561,0.83469,0.78262,0.84115,0.5006,1.40304,0.85768,1.2205,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6155.78,1.18783,0.75885,1.09601,0.83277,0.78401,0.83955,0.5002,1.4019,0.85896,1.21904,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6208.54,1.18619,0.74829,1.09655,0.82931,0.78861,0.83862,0.49961,1.4026,0.86017,1.21904,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6261.85,1.18311,0.7598,1.0985,0.82929,0.79098,0.83945,0.4991,1.40323,0.86194,1.2195,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6334.21,1.18226,0.65647,1.1082,0.83859,0.78643,0.83997,0.49887,1.40528,0.86199,1.22008,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6406.35,1.15982,0.63135,1.09709,0.83172,0.7919,0.84025,0.49934,1.40472,0.85896,1.22021,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6478.06,1.1594,0.63183,1.09848,0.83552,0.78905,0.83864,0.49798,1.40654,0.85857,1.22302,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6548.23,1.15121,0.62352,1.09322,0.83225,0.79179,0.83864,0.49792,1.40658,0.85812,1.22447,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6619.91,1.13651,0.61303,1.08786,0.82837,0.7969,0.83997,0.49732,1.40891,0.85798,1.22675,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6692.6,1.14328,0.61583,1.08781,0.83417,0.79253,0.83911,0.49604,1.41062,0.85906,1.22861,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6765.05,1.13342,0.60732,1.08349,0.8346,0.7927,0.83918,0.49687,1.41081,0.85967,1.22843,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6834.51,1.1296,0.60063,1.08271,0.83679,0.79154,0.83851,0.49617,1.41244,0.85957,1.2295,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6905.65,1.12295,0.59662,1.08243,0.83304,0.79205,0.83837,0.49652,1.41271,0.86043,1.22981,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6977.93,1.1231,0.59421,1.08027,0.83203,0.79358,0.83823,0.49621,1.41375,0.86157,1.23083,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
