conf_percent,class_percent,localisation_percent,fold_0_auprc,fold_0_auroc,fold_1_auprc,fold_1_auroc,fold_2_auprc,fold_2_auroc,fold_3_auprc,fold_3_auroc,fold_4_auprc,fold_4_auroc,mean_fold_auprc,mean_fold_auroc,equal_weight_distance
0,25,75,0.9533529103428258,0.85817225923925,0.9548138114886668,0.8780240945984561,0.9534204374485074,0.8620511462363786,0.96942041594842,0.8908525048186593,0.9662372004975306,0.8868771677760442,0.95944895514519,0.8751954345337577,0.5400617248673217
0,26,74,0.953304063183915,0.8581447465834284,0.9546414509190209,0.8777797894176593,0.9534537777954711,0.8619542538966869,0.9693000916772992,0.8907393326377959,0.9662162739539879,0.8868584598921677,0.9593831315059388,0.8750953164855476,0.5309111664550547
0,27,73,0.9532060498444238,0.8580622086159634,0.9544335424817012,0.8775878353470333,0.9534823960124501,0.8619187267054667,0.9692476775061933,0.8906579901328004,0.9661898613094265,0.8868397520082913,0.959311905430839,0.875013302561911,0.5219833969262496
0,28,72,0.9530674803214112,0.8579871741000861,0.954272594296184,0.8773740683138361,0.9534986931895004,0.8618315235997442,0.9691516787254819,0.8905518912132412,0.9661549414035563,0.8868135609708644,0.9592290775872268,0.8749116436395544,0.5132900414645375
0,29,71,0.9529076976022287,0.8578346039178022,0.9539955147061028,0.8771166753554968,0.9534813961858122,0.8617314015153962,0.9690342756674469,0.8904811586002016,0.9660639140509557,0.8866975720908306,0.9590965596425093,0.8747722822959455,0.5048432099837202
0,30,70,0.952783488276524,0.8576745302839306,0.9537875935449323,0.8768505572121289,0.9534934377846185,0.8616926445795196,0.96888726834468,0.8903785963112942,0.9660172201153109,0.8866676394766282,0.958993801613213,0.8746527935727002,0.49665548085837796
0,31,69,0.9527126600353081,0.8576044980691118,0.9535053814046868,0.8765168188847905,0.9534816633415033,0.8615925224951715,0.9687075442230827,0.8902512776078231,0.9659687748982765,0.8866077742482237,0.9588752047805714,0.8745145782610241,0.488739876280488
0,32,68,0.9526663240160165,0.8575294635532345,0.9533030065887536,0.8762463381489084,0.9534781009115416,0.8615020896447927,0.9685784180970719,0.8901062757510919,0.9659280522590357,0.8866077742482237,0.958790780374484,0.8743983882692502,0.48110982807116576
0,33,67,0.9525842365534238,0.8574269163815355,0.95314607920767,0.8760631092633108,0.9534907544635388,0.8614181162837266,0.9684940310001356,0.8900355431380523,0.9658948309875145,0.8866077742482237,0.9587219864424565,0.8743102918629697,0.4737791327893902
0,34,66,0.9524344436584004,0.8573443784140705,0.9527362258662924,0.8757620903798291,0.9534695950530206,0.8613115347100658,0.9683814815930168,0.8898445650828456,0.9658371624724421,0.8865479090198192,0.9585717817286344,0.8741620955213261,0.4667618950457145
0,35,65,0.9523694464167431,0.8572343277907838,0.9524603672629138,0.875528691680318,0.9534473239474217,0.8612275613489997,0.9683426701016279,0.8897915156230659,0.9657788876788839,0.8864992685217404,0.9584797390815181,0.8740562729929815,0.46007245806140873
0,36,64,0.9522618206354382,0.8571317806190848,0.9523224501012114,0.8753672757572916,0.9533952758932595,0.8610919120734315,0.9681954119918578,0.8896500503969867,0.9657233805385944,0.88642817856301,0.9583796678320722,0.873933839481961,0.4537253207246281
0,37,63,0.9521736318104425,0.8570117253936811,0.9520083237570003,0.8750793446513525,0.9533885866684099,0.8609853304997707,0.968060005268377,0.8895333415854715,0.9656451945644602,0.886349605450729,0.9582551484137379,0.873791869516201,0.44773504069557335
0,38,62,0.952019052653373,0.8569066770714528,0.951820472849512,0.8748154078042417,0.9533557955047952,0.8608496812242025,0.9678781449904896,0.8893600466835246,0.9655945154004383,0.8863383807204032,0.9581335962797215,0.8736540387007651,0.4421161235090468
0,39,61,0.9519636789428652,0.8567766172439322,0.951684862955356,0.8746234537336157,0.9532984856962684,0.8606558965448192,0.9677750742398928,0.8892787041785292,0.9655449238514217,0.8863196728365268,0.9580534051371608,0.8735308689074847,0.4368828981164937
0,40,60,0.9518950004610748,0.8565840286531805,0.9515514942942978,0.8744140492929329,0.9532216709140992,0.8604168954402465,0.9676664953281323,0.8891832151509257,0.9654686777865973,0.8862298749939199,0.9579606677568403,0.873365612706241,0.43204937989385733
0,41,59,0.9517935531250592,0.8564414630730136,0.9512653328307227,0.8741937383709644,0.95315722604163,0.8602069620375813,0.967559364587082,0.8890558964474545,0.9653984948950941,0.8861438187280883,0.9578347942959177,0.8732083757314204,0.42762912279996396
0,42,58,0.9516939483630195,0.8562563779338496,0.9510725605971411,0.8739734274489959,0.9531128409999687,0.8600325558261364,0.9674652936982382,0.8889356510052873,0.9653194539580925,0.8860540208854816,0.9577328195232919,0.87305040661995,0.42363506307512677
0,43,57,0.9515814160074201,0.8560587870420393,0.9509451289315282,0.8738207367109979,0.9530850420608453,0.8598775280826297,0.9673554368027324,0.8888330887163799,0.965254757455379,0.8859791893499759,0.957644356251581,0.8729138659804045,0.42007935758219145
